Beta,Z,U,R_Norm,S_Norm,Eps_Pri,Eps_Dual, Iteration_time
-0.00497668,-0,-0.00497668,0.544444,0.231027,0.00854376,0.00768051,1.23638
-0.0047358,-0,-0.00971248,0.165521,0.337642,0.00812663,0.00899856,0.946613
0.00177712,-0,-0.00793536,0.0685312,0.285994,0.0107114,0.0089608,1.12099
0.00211115,-0,-0.0058242,0.0728193,0.220275,0.0128597,0.00865752,0.975949
0.000993803,-0,-0.0048304,0.0631604,0.176974,0.0145027,0.00835943,1.93
0.000537891,-0,-0.00429251,0.0584181,0.148273,0.0158255,0.00805589,2.04196
0.000587251,-0,-0.00370526,0.0479165,0.127572,0.0169055,0.00779469,1.09701
0.000755913,-0,-0.00294935,0.0410319,0.111955,0.0178155,0.00756794,0.934929
0.000570541,-0,-0.0023788,0.03404,0.0995895,0.0185982,0.00738256,1.20799
0.00052731,-0,-0.00185149,0.0300451,0.0890165,0.019286,0.00722533,0.900075
0.000377689,-0,-0.00147381,0.0263101,0.0802394,0.0198954,0.0070855,1.05589
6.55511e-05,-0,-0.00140825,0.026853,0.0706051,0.0204386,0.00694367,0.709973
-0.000144765,-0,-0.00155302,0.0243818,0.0615769,0.0209156,0.00681036,0.998952
-2.6474e-05,-0,-0.00157949,0.0249249,0.0526623,0.0213277,0.00667319,0.906978
0.000435783,-0,-0.00114371,0.0208486,0.0447894,0.0216726,0.00654833,1.58797
0.000165287,-0,-0.000978424,0.0155734,0.0388333,0.0219589,0.0064477,0.803979
0.000103614,-0,-0.00087481,0.0134989,0.033878,0.0221998,0.00636582,0.694091
5.60548e-05,-0,-0.000818755,0.0132937,0.0278933,0.0224044,0.0062885,0.925958
4.91115e-05,-0,-0.000769644,0.0121884,0.0228245,0.0225754,0.0062115,0.952078
-1.54768e-05,-0,-0.000785121,0.010672,0.018468,0.0227139,0.00613868,0.707969
-5.80398e-05,-0,-0.00084316,0.00806166,0.015143,0.0228242,0.00607727,0.591973
-6.59458e-05,-0,-0.000909106,0.00678788,0.0124113,0.0229119,0.00602614,0.570984
-6.63873e-05,-0,-0.000975494,0.00568496,0.0101718,0.0229817,0.00598411,0.405958
-6.24446e-05,-0,-0.00103794,0.00473913,0.00833862,0.0230371,0.00594986,0.295986
-5.60703e-05,-0,-0.00109401,0.00393733,0.00683914,0.0230812,0.00592212,0.269978
